data,size,algo,buildtime,querytime,params,recall
clip768v2,30M,NSG32,9275.327924728394,1.54561185836792,"query=(search_L=109,ep=original,threads=64)",0.94436
clip768v2,30M,NSG32,9275.327924728394,0.8873567581176758,"query=(search_L=86,ep=original,threads=32)",0.9342
clip768v2,30M,NSG32,9275.327924728394,1.9139368534088135,"query=(search_L=80,ep=kmeans,threads=64)",0.93705
clip768v2,30M,NSG32,9275.327924728394,1.0043082237243652,"query=(search_L=95,ep=original,threads=16)",0.93893
clip768v2,30M,NSG32,9275.327924728394,1.1614046096801758,"query=(search_L=86,ep=original,threads=64)",0.9342
clip768v2,30M,NSG32,9275.327924728394,0.9483890533447266,"query=(search_L=73,ep=original,threads=64)",0.9269
clip768v2,30M,NSG32,9275.327924728394,1.8226978778839111,"query=(search_L=176,ep=kmeans,threads=16)",0.95604
clip768v2,30M,NSG32,9275.327924728394,1.0064921379089355,"query=(search_L=105,ep=original,threads=32)",0.94285
clip768v2,30M,NSG32,9275.327924728394,1.1913483142852783,"query=(search_L=87,ep=kmeans,threads=32)",0.94063
clip768v2,30M,NSG32,9275.327924728394,0.872748851776123,"query=(search_L=74,ep=original,threads=16)",0.92763
clip768v2,30M,NSG32,9275.327924728394,0.7840597629547119,"query=(search_L=66,ep=original,threads=16)",0.92046
clip768v2,30M,NSG32,9275.327924728394,0.7804815769195557,"query=(search_L=64,ep=original,threads=16)",0.91838
clip768v2,30M,NSG32,9275.327924728394,1.051828145980835,"query=(search_L=69,ep=kmeans,threads=16)",0.92981
clip768v2,30M,NSG32,9275.327924728394,1.0800597667694092,"query=(search_L=76,ep=kmeans,threads=16)",0.93484
clip768v2,30M,NSG32,9275.327924728394,1.1516880989074707,"query=(search_L=107,ep=original,threads=16)",0.94385
clip768v2,30M,NSG32,9275.327924728394,1.0980217456817627,"query=(search_L=104,ep=original,threads=16)",0.94259
clip768v2,30M,NSG32,9275.327924728394,1.2560398578643799,"query=(search_L=99,ep=kmeans,threads=32)",0.94598
clip768v2,30M,NSG32,9275.327924728394,1.154289722442627,"query=(search_L=123,ep=original,threads=32)",0.9493
clip768v2,30M,NSG32,9275.327924728394,1.6232540607452393,"query=(search_L=144,ep=original,threads=64)",0.9543
clip768v2,30M,NSG32,9275.327924728394,1.6834781169891357,"query=(search_L=121,ep=original,threads=64)",0.94848
clip768v2,30M,NSG32,9275.327924728394,0.9798507690429688,"query=(search_L=84,ep=original,threads=16)",0.9333
clip768v2,30M,NSG32,9275.327924728394,0.9695816040039062,"query=(search_L=86,ep=original,threads=16)",0.9342
clip768v2,30M,NSG32,9275.327924728394,1.7827131748199463,"query=(search_L=105,ep=original,threads=64)",0.94285
clip768v2,30M,NSG32,9275.327924728394,1.395195484161377,"query=(search_L=160,ep=original,threads=32)",0.95775
clip768v2,30M,NSG32,9275.327924728394,1.2797739505767822,"query=(search_L=103,ep=kmeans,threads=16)",0.947
clip768v2,30M,NSG32,9275.327924728394,1.2857117652893066,"query=(search_L=114,ep=kmeans,threads=16)",0.95067
clip768v2,30M,NSG32,9275.327924728394,0.9867682456970215,"query=(search_L=91,ep=original,threads=16)",0.93676
clip768v2,30M,NSG32,9275.327924728394,1.5899848937988281,"query=(search_L=99,ep=original,threads=64)",0.94083
clip768v2,30M,NSG32,9275.327924728394,1.2938525676727295,"query=(search_L=109,ep=kmeans,threads=32)",0.94934
clip768v2,30M,NSG32,9275.327924728394,0.7699568271636963,"query=(search_L=67,ep=original,threads=16)",0.92158
clip768v2,30M,NSG32,9275.327924728394,1.4531421661376953,"query=(search_L=107,ep=original,threads=64)",0.94385
clip768v2,30M,NSG32,9275.327924728394,2.0137202739715576,"query=(search_L=104,ep=kmeans,threads=64)",0.9475
clip768v2,30M,NSG32,9275.327924728394,1.913600206375122,"query=(search_L=117,ep=original,threads=64)",0.94712
clip768v2,30M,NSG32,9275.327924728394,1.8664870262145996,"query=(search_L=106,ep=kmeans,threads=64)",0.94828
